icao,"name",lat,lon,runways,ils,elev_ft_AMSL
CYQM,"Greater Moncton Intl",46.10477833,-64.68226799,2,2,232
CYQQ,"Comox",49.70962400,-124.89241300,2,1,83
CYQR,"Regina Intl",50.43248345,-104.65463854,2,1,1894
CYQT,"Thunder Bay",48.37052795,-89.31956474,2,1,653
CYQU,"Grande Prairie",55.1821525,-118.88595475,2,1,2195
CYQX,"Gander Intl",48.9429623333333,-54.5658638333333,3,2,496
CYQY,"Sydney",46.160915215,-60.045266635,2,2,203
CYRJ,"Roberval",48.5200015,-72.2655555,1,1,586
CYSB,"Sudbury",46.62632025,-80.7981945,2,1,1141
CYSJ,"Saint John",45.31775455,-65.88711048,2,2,357
CYTF,"Alma",48.50875,-71.641946,1,1,445
CYTR,"Trenton",44.11652925,-77.52972225,2,1,283
CYTS,"Timmins",48.5701395,-81.375487,2,1,967
CYTZ,"Toronto City Centre",43.63034450,-79.39909883,3,1,251
CYUL,"Montreal Pierre E Trudeau Intl",45.45844700,-73.75388300,3,4,117
CYUY,"Rouyn Noranda",48.2058015,-78.8352635,1,1,988
CYVO,"Val D Or",48.053286,-77.7826595,1,1,1107
CYVR,"Vancouver Intl",49.19491700,-123.17835300,4,5,14
CYWG,"Winnipeg Intl",49.90311351,-97.22508775,2,3,783
CYXC,"Canadian Rockies Intl",49.612121,-115.7820545,1,1,3084
CYXD,"Edmonton City Centre (blatchford Fld)",53.5720835,-113.51541775,2,1,2200
CYXE,"Saskatoon J G Diefenbaker Intl",52.16913666,-106.69179682,2,1,1653
CYXJ,"Fort St John",56.23842375,-120.739988,2,1,2280
CYXS,"Prince George",53.8892631666667,-122.673850166667,3,1,2267
CYXT,"Terrace",54.47252300,-128.57595800,2,1,712
CYXU,"London",43.02838079,-81.14896347,2,1,912
CYXX,"Abbotsford",49.02711300,-122.37642100,3,1,189
CYYB,"North Bay Jack Garland",46.35804851,-79.42856726,3,1,1215
CYYC,"Calgary Intl",51.1131972666667,-114.020043853333,3,3,3557
CYYE,"Fort Nelson",58.83625,-122.59492775,2,1,1253
CYYF,"Penticton",49.46125,-119.601385,1,1,1129
CYYG,"Charlottetown",46.28749988,-63.13079336,2,1,160
CYYJ,"Victoria Intl",48.64519400,-123.42130600,3,1,63
CYYT,"St Johns Intl",47.61551843,-52.74957732,3,3,461
CYYY,"Mont Joli",48.607251,-68.2092285,2,1,172
CYYZ,"Toronto Lester B Pearson Intl",43.67513900,-79.62861300,5,8,568
CYZF,"Yellowknife",62.4656665,-114.44141675,2,1,675
CYZP,"Sandspit",53.25195751,-131.81592267,1,1,20
CYZR,"Sarnia - Chris Hadfield",42.9993055,-82.307848,2,1,594
CYZT,"Port Hardy",50.68079,-127.367732333333,3,1,71
CYZV,"Sept Iles",50.2238898333333,-66.2675013333333,3,1,180
CYZX,"Greenwood",44.98347051,-64.91205306,2,1,85
CZBM,"Bromont",45.29088375,-72.74119575,2,1,375
DAAE,"Soummam",36.7118055,5.0698615,1,1,20
DAAG,"Alger Houari Boumediene",36.69766300,3.20148400,2,2,82
DABB,"Annaba",36.82932575,7.8137465,2,1,16
DABC,"Mohamed Boudiaf Intl",36.27604175,6.62027775,2,1,2265
DBBB,"Cadjehoun",6.3572265,2.384353,1,1,19
DFFD,"Ouagadougou",12.352189,-1.5116055,2,1,1037
DGAA,"Accra_kotoka_intl",5.60376231,-0.17174180,1,1,204
DIAP,"Abidjan Felix Houphouet Boigny Intl",5.25240600,-3.93333300,1,1,21
DNAA,"Nnamdi Azikiwe Intl",9.0067905,7.263171,1,2,1123
DNCA,"Calabar",4.976046,8.3472985,1,1,210
DNIL,"Ilorin",8.440115,4.4939685,1,2,1126
DNJO,"Yakubu Gowon",9.6398225,8.869083,1,1,4232
DNKA,"Kaduna",10.6958665,7.3201445,1,1,2073
DNKN,"Mallam Aminu Intl",12.04778425,8.524852,2,3,1562
DNMA,"Maiduguri",11.855243,13.081285,1,2,1099
DNMM,"Lagos Murtala Muhammed",6.57876300,3.32064000,2,3,135
DNMN,"Minna New",9.65234,6.46235,1,1,834
DNPO,"Port Harcourt Intl",5.0154555,6.949529,1,1,87
DNSO,"Sadiq Abubakar Iii Intl",12.915896,5.2068945,1,1,1010
DNYO,"Yola",9.263721,12.43125325,2,1,599
DRRN,"Diori Hamani",13.482967,2.181087,2,1,732
DTKA,"Tabarka 7 Novembre",36.9801655,8.875125,1,1,230
DTMB,"Monastir Habib Bourguiba Intl",35.76015400,10.75173800,1,1,9
DTNH,"Enfidha-hammamet",36.08652800,10.44280600,1,1,21
DTTA,"Carthage",36.84470750,10.21733470,2,3,22
DTTJ,"Djerba Zarzis",33.87159500,10.77768000,1,1,18
DTTZ,"Nefta",33.93961,8.1011095,1,1,287
DXNG,"Niamtougou",9.77596511,1.09879213,1,1,1515
DXXX,"Gnassingbe Eyadema Intl",6.16907140,1.25265009,1,1,72
EBAW,"Antwerp Deurne",51.18829300,4.45152800,2,1,39
EBBE,"Beauvechain",50.75734806,4.77850833,2,1,341
EBBL,"Kleine Brogel",51.16948871,5.46652649,2,1,200
EBBR,"Brussels Airport",50.90729000,4.50873800,3,4,184
EBCI,"Brussels South - Charleroi",50.45861182,4.45498645,1,1,614
EBCV,"Chievres Ab",50.57683900,3.83107700,1,1,201
EBFS,"Florennes",50.23357581,4.65355906,2,1,900
EBKT,"Wevelgem",50.82042566,3.21792233,1,1,64
EBLG,"Liege",50.63785800,5.45442300,2,1,645
EBOS,"Oostende",51.20396100,2.86861000,1,2,13
EDAC,"Altenburg Nobitz",50.97969100,12.51478400,1,1,640
EDAH,"Heringsdorf",53.87839900,14.14010700,2,1,93
EDBC,"Magdeburg Cochstedt",51.8559265,11.418004,2,1,596
EDDB,"Berlin Schoenefeld",52.38644400,13.51633700,2,2,157
EDDC,"Dresden",51.12841714,13.76738466,1,2,752
EDDE,"Erfurt",50.97397900,10.96330100,1,2,1035
EDDF,"Frankfurt Am Main",50.04511800,8.55821800,4,6,355
EDDG,"Muenster Osnabrueck",52.13026423,7.68294475,1,2,159
EDDH,"Hamburg",53.62456470,9.99070294,2,4,53
EDDK,"Koln Bonn",50.86933700,7.13296000,3,3,302
EDDL,"Duesseldorf",51.27879852,6.77055632,2,4,146
EDDM,"Muenchen Franz-josef Strauss",48.35304600,11.78605400,2,4,1487
EDDN,"Nurnberg",49.49535100,11.07014800,1,2,1045
EDDP,"Leipzig-halle",51.42159200,12.23447300,2,4,464
EDDR,"Saarbrucken",49.21910840,7.11238423,2,1,1057
EDDS,"Stuttgart",48.68462203,9.22023699,1,3,1273
EDDT,"Berlin Tegel",52.55463000,13.29331000,2,4,122
EDDV,"Hannover",52.46093797,9.68178867,3,4,183
EDDW,"Bremen",53.05044800,8.78907500,2,2,14
EDFH,"Frankfurt Hahn",49.95278900,7.28046000,1,2,1649
EDFM,"Mannheim City",49.47639752,8.52069752,2,1,309
EDGS,"Siegerland",50.70734001,8.07647850,3,1,1966
EDHI,"Hamburg Finkenwerder",53.53059600,9.84078900,1,2,21
EDHK,"Kiel Holtenau",54.38307249,10.14395598,2,1,101
EDHL,"Lubeck Blankensee",53.80503059,10.70175816,1,1,53
EDJA,"Memmingen Allgau",47.988757,10.239502,1,1,2077
EDLN,"Monchengladbach",51.22936200,6.49986400,1,2,125
EDLP,"Paderborn Lippstadt",51.61026800,8.61864100,1,2,699
EDLV,"Niederrhein",51.6024555,6.142132,1,1,106
EDLW,"Dortmund-wickede",51.51643770,7.61672018,1,2,425
EDMA,"Augsburg",48.42408000,10.93587900,2,1,1515
EDMO,"Oberpfaffenhofen",48.08952700,11.27136200,1,1,1947
EDNY,"Friedrichshafen",47.66952970,9.51461593,2,1,1367
EDOP,"Schwerin Parchim",53.43247964,11.78417164,1,1,166
EDQM,"Hof Plauen",50.28602600,11.86924000,1,1,1960
EDRZ,"Zweibrücken",49.20882770,7.39559858,1,2,3710
EDSB,"Karlsruhe Baden Baden",48.77879300,8.09265900,1,2,408
EDTL,"Lahr",48.3692515,7.827725,1,2,511
EDTY,"Schwabisch Hall",49.1184735,9.78523875,2,1,1311
EDVE,"Braunschweig-wolfsburg",52.31518600,10.55599300,2,1,295
EDVK,"Kassel Calden",51.40488941,9.37814754,3,1,908
EDXW,"Westerland Sylt",54.91383446,8.33043848,2,1,51
EETN,"Tallinn",59.4132565,24.832803,1,2,131
EFET,"Enontekio",68.35937500,23.42659800,1,1,1005
EFHA,"Halli",61.85289100,24.78823600,1,1,479
EFHK,"Helsinki Vantaa",60.32041900,24.96772400,3,5,179
EFIV,"Ivalo",68.60841400,27.42059300,2,1,481
EFJO,"Joensuu",62.65734700,29.61484900,2,1,398
EFJY,"Jyvaskyla",62.40500400,25.67541900,1,1,459
EFKA,"Kauhava",63.11985600,23.04382400,1,1,151
EFKE,"Kemi Tornio",65.78026600,24.57584000,1,1,61
EFKI,"Kajaani",64.2854705,27.6924165,1,1,483
EFKK,"Kruunupyy",63.71908800,23.13401600,2,1,83
EFKS,"Kuusamo",65.99611600,29.22538900,1,1,866
EFKT,"Kittila",67.69566300,24.85803600,1,1,644
EFKU,"Kuopio",63.00859900,27.79010200,2,1,323
EFLP,"Lappeenranta",61.04402900,28.15616400,1,1,349
EFMA,"Mariehamn",60.12208200,19.90752400,1,1,17
EFMI,"Mikkeli",61.68772000,27.20850900,1,1,329
EFOU,"Oulu",64.92979400,25.37160500,1,1,47
EFPO,"Pori",61.46792300,21.79422700,2,1,44
EFRO,"Rovaniemi",66.56268300,25.83678400,1,1,632
EFSA,"Savonlinna",61.94363800,28.93176500,1,1,311
EFSI,"Seinajoki",62.69251200,22.82463500,1,1,301
EFTP,"Tampere Pirkkala",61.41982300,23.61186900,1,1,390
EFTU,"Turku",60.51189400,22.27479200,1,1,161
EFVA,"Vaasa",63.05065,21.7621735,1,1,19
EFVR,"Varkaus",62.17187400,27.86219600,1,1,286
EFYL,"Ylivieska",64.054443,24.722407,1,1,252
EGAA,"Belfast Aldergrove",54.65351500,-6.22281000,2,2,268
EGAC,"Belfast City",54.61348300,-5.87352500,1,1,15
EGAE,"Londonderry Eglinton",55.03975213,-7.15586934,1,1,22
EGBB,"Birmingham",52.45016809,-1.75066171,1,1,327
EGBE,"Coventry",52.37222745,-1.48117587,1,1,267
EGCC,"Manchester Intl",53.36142586,-2.27169525,2,2,257
EGCD,"Manchester Woodford",53.33795653,-2.14918057,1,1,295
EGCN,"Doncaster Sheffield",53.48169100,-0.99598900,1,1,55
EGDC,"Royal Marines Base Chivenor",51.08947839,-4.14879145,3,1,26
EGDL,"Raf Lyneham",51.50370315,-1.99234136,2,1,513
EGDM,"Boscombe Down",51.15623962,-1.73655308,3,1,407
EGFF,"Cardiff",51.39885242,-3.34066894,1,1,220
EGGD,"Bristol International",51.38601946,-2.71473245,1,1,622
EGGP,"Liverpool",53.32995699,-2.84762614,1,1,80
EGGW,"London Luton",51.87785888,-0.37570190,1,1,526
EGHD,"Plymouth",50.42282019,-4.10967848,1,1,475
EGHH,"Bournemouth",50.77922178,-1.83574503,1,1,38
EGHI,"Southampton",50.95227696,-1.35938632,1,1,44
EGHQ,"Newquay",50.44075878,-4.99533419,1,1,389
EGJB,"Guernsey",49.43271567,-2.59793396,1,1,336
EGJJ,"Jersey",49.20625292,-2.19559302,1,2,277
EGKB,"Biggin Hill",51.33196700,0.02918000,2,1,598
EGKK,"London Gatwick",51.15422185,-0.18405755,2,1,196
EGLC,"London City",51.50397905,0.04982496,1,1,19
EGLF,"Farnborough",51.27931805,-0.77736169,1,1,238
EGLL,"London Heathrow",51.47187295,-0.46557454,2,2,83
EGMC,"Southend",51.56772709,0.70078198,1,1,49
EGMD,"Lydd",50.95696464,0.93643037,1,1,13
EGMH,"Manston",51.34354045,1.35096670,1,1,178
EGNH,"Blackpool",53.77638928,-3.03874305,3,1,34
EGNJ,"Humberside",53.58309540,-0.34841530,2,1,121
EGNL,"Barrow Walney Island",54.12576401,-3.26182918,3,1,173
EGNM,"Leeds Bradford",53.86903310,-1.66001027,1,1,681
EGNO,"Warton Aerodrome",53.74573831,-2.88858971,1,1,55
EGNR,"Hawarden",53.17617403,-2.98644248,1,1,45
EGNS,"Isle Of Man Ronaldsway",54.08635299,-4.63331679,2,1,52
EGNT,"Newcastle",55.04157680,-1.69400884,1,1,266
EGNV,"Durham Tees Valley",54.51320300,-1.42749088,1,1,120
EGNX,"East Midlands",52.82637488,-1.33213240,1,1,306
EGOS,"Raf Shawbury",52.79414698,-2.66357392,2,1,249
EGOV,"Raf Valley",53.25174182,-4.53640271,3,1,37
EGPA,"Kirkwall",58.95506845,-2.89751929,2,2,51
EGPB,"Sumburgh",59.87884263,-1.30041228,3,1,20
EGPD,"Aberdeen Dyce",57.20537342,-2.20600315,4,1,215
EGPE,"Inverness",57.53946867,-4.04434196,2,1,31
EGPF,"Glasgow",55.86977243,-4.43040165,1,1,26
EGPH,"Edinburgh",55.94555946,-3.36424947,2,1,135
EGPK,"Prestwick",55.50206212,-4.58297629,2,1,65
EGPN,"Dundee",56.45393257,-3.01592516,1,1,17
EGPO,"Stornoway",58.21434912,-6.32548960,2,1,26
EGQK,"Raf Kinloss",57.64485824,-3.56320638,1,1,22
EGQL,"Raf Leuchars",56.37710271,-2.86083282,2,1,38
EGQS,"Raf Lossiemouth",57.71163529,-3.32219561,2,1,41
EGSC,"Cambridge",52.20807367,0.17278696,3,1,47
EGSH,"Norwich",52.67916100,1.27722044,2,1,117
EGSS,"London Stansted",51.88530868,0.25441800,1,1,348
EGTC,"Cranfield",52.07027717,-0.62670345,4,1,358
EGTE,"Exeter",50.73152471,-3.41642698,1,1,102
EGTG,"Bristol Filton",51.52212642,-2.57754895,1,1,225
EGTK,"Oxford Kidlington",51.83282239,-1.31585615,4,1,270
EGUB,"Raf Benson",51.61878585,-1.09985332,1,1,226
EGUL,"Raf Lakenheath",52.40434611,0.55806950,1,1,32
EGUN,"Raf Mildenhall",52.36710094,0.48403471,1,1,33
EGUW,"Raf Wattisham",52.12361247,0.95816881,1,1,284
EGVA,"Raf Fairford",51.68154113,-1.78257918,1,1,286
EGVN,"Raf Brize Norton",51.74717584,-1.58617234,1,1,289
EGVO,"Raf Odiham",51.23016515,-0.93702056,1,1,405
EGWU,"Raf Northolt",51.54932629,-0.41521648,1,1,124
EGXC,"Raf Coningsby",53.09471117,-0.17015450,1,1,25
EGXE,"Raf Leeming",54.29339891,-1.54066001,1,1,132
EGXG,"Raf Church Fenton",53.83539677,-1.19925341,2,1,29
EGXJ,"Raf Cottesmore",52.73310160,-0.64785415,1,1,461
EGXP,"Raf Scampton",53.30598569,-0.54829482,1,1,202
EGXU,"Raf Linton On Ouse",54.04507417,-1.25072858,2,1,53
EGXW,"Raf Waddington",53.17216662,-0.52379842,1,1,231
EGYD,"Raf Cranwell",53.03328995,-0.48665704,3,1,218
EGYM,"Raf Marham",52.64820766,0.56659090,2,1,75
EGYP,"Mount Pleasant",-51.81994125,-58.44779778,2,1,244
EHAM,"Schiphol",52.30753254,4.76253725,6,7,-11
EHBD,"Budel",51.25718700,5.60195000,1,1,114
EHBK,"Maastricht",50.91230400,5.76963900,1,1,375
EHEH,"Eindhoven",51.45113800,5.37451400,1,1,74
EHGG,"Eelde",53.12864731,6.58791630,2,1,17
EHGR,"Gilze Rijen",51.56835200,4.93171800,2,1,49
EHKD,"De Kooy",52.92448400,4.78062900,1,1,3
EHLE,"Lelystad Airport",52.45593600,5.51780700,2,1,-39
EHLW,"Leeuwarden",53.2269995,5.75393075,2,2,4
EHRD,"Rotterdam The Hague",51.94892942,4.43408635,1,1,-15
EHSB,"Soesterberg",52.12820400,5.27648300,1,1,66
EHVK,"Volkel",51.66124828,5.70533437,3,1,72
EHWO,"Woensdrecht",51.44657500,4.34214200,1,1,63
EICK,"Cork",51.84386592,-8.49781766,2,2,502
EICM,"Galway",53.30164919,-8.94148145,1,2,81
EIDL,"Donegal",55.03815689,-8.34263663,1,1,29
EIDW,"Dublin",53.42843802,-6.26207848,3,4,242
EIKN,"Ireland West Airport Knock",53.91337309,-8.81126143,1,1,665
EIKY,"Kerry",52.18130811,-9.53690243,2,1,111
EIME,"Baldonnel Casement",53.30553879,-6.44180282,2,1,319
EINN,"Shannon",52.69544916,-8.92810746,5,1,46
EIWF,"Waterford",52.18866953,-7.08100522,1,1,119
EKAH,"Aarhus",56.30088400,10.61697000,2,2,82
EKBI,"Billund",55.73782984,9.16289353,2,2,247
EKCH,"Kastrup",55.61180300,12.65762757,3,6,17
EKEB,"Esbjerg",55.52155400,8.54871500,1,2,97
EKKA,"Karup Int",56.2991064,9.1106182,5,2,170
EKOD,"Odense",55.47529068,10.33326332,2,1,56
EKRK,"Copenhagen Roskilde Int",55.59004300,12.12973300,2,2,146
EKRN,"Bornholm Ronne",55.06938498,14.74870998,1,2,52
EKSB,"Sonderborg",54.96282918,9.79402345,1,1,24
EKSN,"Sindal",57.50456095,10.22279130,1,1,92
EKSP,"Vojens Skrydstrup [mil]",55.2200735,9.2662615,2,1,141
EKTS,"Thisted",57.06879861,8.70522361,1,1,23
EKVG,"Vagar",62.06544100,-7.27991500,1,2,280
EKVJ,"Stauning",55.990122,8.35390714,1,1,17
EKYT,"Aalborg",57.09020100,9.86495300,2,1,10
ELLX,"Luxembourg",49.62833794,6.20654120,1,2,1158
ENAL,"Alesund Lufthavn - Vigra",62.55816871,6.11434582,1,1,69
ENAN,"Andoya",69.29200339,16.13457310,2,1,43
ENAT,"Alta",69.977351,23.365433,1,1,9
ENBL,"Bringeland",61.39084889,5.76338914,1,2,1046
ENBN,"Bronnoy",65.46083944,12.21317681,1,1,25
ENBO,"Bodo",67.268487,14.356773,1,2,42
ENBR,"Bergen Lufthavn Flesland",60.29248751,5.22707297,1,2,165
ENBS,"Batsfjord",70.60292797,29.69624167,1,1,490
ENCN,"Kristiansand Lufthavn Kjevik",58.20190933,8.07393575,1,2,57
ENDU,"Bardufoss",69.05929600,18.54178500,1,2,252
ENEV,"Evenes",68.4913,16.6781085,1,1,84
ENFG,"Leirin",61.0113055,9.2931985,1,1,2697
ENFL,"Floro",61.58546125,5.02526228,1,1,37
ENGM,"Oslo Gardermoen",60.19286148,11.09803992,2,4,681
ENHD,"Haugesund Lufthavn Karmoy",59.34486629,5.21580003,1,1,76
ENHF,"Hammerfest",70.68007863,23.67538886,1,2,266
ENHK,"Hasvik",70.486286,22.141839,1,1,21
ENHV,"Honningsvaag Valan",71.00884200,25.97913600,1,1,46
ENKB,"Kvernberget",63.11065300,7.82430600,1,1,204
ENKR,"Hoybuktmoen",69.7252152,29.89079978,1,1,283
ENLI,"Lista",58.0997095,6.6260195,1,1,29
ENML,"Molde Aro",62.74369292,7.26678651,1,2,10
ENMS,"Kjaerstad",65.7839975,13.214914,1,1,237
ENNA,"Banak",70.0688125,24.973489,1,2,25
ENNK,"Narvik Framnes",68.4369354,17.386673,1,1,95
ENNO,"Notodden",59.56550700,9.21910900,1,1,63
ENOL,"Orland",63.70583000,9.61255300,1,2,28
ENOV,"Orsta-volda Hovden",62.18062600,6.08180200,1,1,243
ENRA,"Mo I Rana Rossvoll",66.36496000,14.30252400,1,1,226
ENRO,"Roros",62.5791445,11.344735,1,1,2054
ENRY,"Rygge",59.378793,10.7854265,1,1,174
ENSB,"Svalbard Longyear",78.24680500,15.49548700,1,2,88
ENSG,"Sogndal Haukasen",61.15579166,7.13627777,1,2,1633
ENSN,"Geiteryggen",59.1850275,9.567075,1,1,463
ENSO,"Stord Sorstokken",59.79257578,5.34250971,1,1,161
ENST,"Stokka",65.95921239,12.47458026,1,1,56
ENTC,"Tromso Langnes",69.68318437,18.91068242,1,2,31
ENTO,"Torp",59.1866625,10.2585955,1,2,286
ENVA,"Vaernes",63.45515289,10.91983723,1,2,56
ENZV,"Stavanger Lufthavn Sola",58.88662035,5.63091020,2,3,29
EPBY,"Bydgoszcz Szwederowo",53.09402300,17.99666800,4,1,236
EPGD,"Lech Walesa",54.38013800,18.47843400,1,1,489
EPKK,"Balice",50.07330100,19.78722700,1,1,791
EPKT,"Pyrzowice",50.47133400,19.07515600,1,1,995
EPLL,"Lodz Lublinek",51.72728343,19.40390324,2,1,606
EPPO,"Lawica",52.41449000,16.83809000,1,1,308
EPRZ,"Jasionka",50.11514200,22.02868800,2,1,675
EPSC,"Goleniow",53.58739000,14.90696000,1,1,154
EPSY,"Szymany",53.4797305,20.936497,1,1,463
EPWA,"Warszawa Okecie",52.17290000,20.96977100,2,2,328
EPWR,"Strachowice",51.10677000,16.88616000,1,1,404
ESCF,"Linkoping Malmen",58.3993985,15.52670975,2,1,308
ESDF,"Ronneby",56.26171500,15.27578500,2,1,191
ESGG,"Goteborg Landvetter",57.66504711,12.29633650,1,2,506
ESGJ,"Jonkoping",57.75058400,14.07025600,2,1,741
ESGL,"Lidkoping",58.465522,13.174415,1,1,200
ESGP,"Goteborg Save",57.77723700,11.88282500,2,1,59
ESGR,"Skovde",58.4563795,13.972632,1,1,324
ESGT,"Trollhattan Vanersborg",58.31749700,12.35053900,1,1,137
ESIB,"Satenas",58.44054400,12.70262100,2,1,181
ESKM,"Mora",60.957907,14.511383,1,1,634
ESKN,"Stockholm Skavsta",58.78572100,16.91843800,2,2,140
ESMK,"Kristianstad",55.92438500,14.08111400,1,1,76
ESMO,"Oskarshamn",57.3488375,16.497707,1,1,96
ESMQ,"Kalmar",56.67820700,16.28681800,2,1,17
ESMS,"Malmo Sturup",55.53810500,13.36438300,2,2,236
ESMT,"Halmstad",56.69054000,12.82535400,1,1,101
ESMX,"Vaxjo Kronoberg",56.92549900,14.73141200,1,2,610
ESND,"Sveg",62.047729,14.4210305,1,1,1178
ESNG,"Gallivare",67.13592500,20.81192200,1,1,1027
ESNK,"Kramfors Solleftea",63.04959500,17.76885600,1,2,34
ESNL,"Lycksele",64.5495695,18.7140265,1,2,705
ESNN,"Sundsvall Harnosand/midlanda",62.52874400,17.44422000,1,2,16
ESNO,"Ornskoldsvik",63.41113300,18.99118600,1,1,354
ESNQ,"Kiruna",67.82535600,20.33309600,1,1,1508
ESNS,"Skelleftea",64.62577100,21.07686800,1,1,155
ESNU,"Umea",63.79282800,20.28276100,1,2,24
ESNV,"Vilhelmina",64.579082,16.833575,1,1,1140
ESNX,"Arvidsjaur",65.59101900,19.26797700,1,2,1245
ESNY,"Soderhamn",61.261082,17.0978805,2,1,88
ESNZ,"Are Ostersund",63.19389700,14.48836374,1,1,1231
ESOE,"Orebro",59.22713500,15.04629300,1,2,188
ESOH,"Hagfors",60.0200625,13.578907,1,1,474
ESOK,"Karlstad",59.44250500,13.34113900,2,2,352
ESOW,"Vasteras",59.58788308,16.62317642,1,1,21
ESPA,"Lulea Kallax",65.54315900,22.11432500,1,2,65
ESSA,"Stockholm Arlanda",59.64925243,17.93358576,3,6,137
ESSB,"Bromma",59.35550518,17.94768031,1,2,47
ESSD,"Borlange",60.43012600,15.50503200,2,1,503
ESSF,"Hultsfred",57.525749,15.8239475,1,1,366
ESSK,"Gavle",60.593133,16.9512225,1,1,224
ESSL,"Linkoping Saab",58.40399600,15.67871100,1,2,172
ESSP,"Norrkoping Kungsangen",58.58354600,16.23528700,2,1,32
ESST,"Torsby",60.1573735,12.991474,1,2,393
ESSU,"Eskilstuna",59.34939600,16.70491600,1,1,139
ESSV,"Visby",57.66083900,18.33852800,2,1,164
ESTA,"Angelholm",56.28964281,12.84394883,1,1,68
ESTL,"Ljungbyhed",56.083992875,13.2117595,4,1,140
ESUD,"Storuman",64.960893,17.6966935,1,1,915
ESUP,"Pajala",67.24456000,23.08539200,1,1,542
ESUT,"Hemavan",65.805675,15.083265,1,1,1503
ETAD,"Spangdahlem Ab",49.976542,6.6985085,1,2,1197
ETAR,"Ramstein Ab",49.44398000,7.59036400,2,3,781
ETHN,"Niederstetten",49.3918335,9.9581665,1,1,1536
ETMN,"Nordholz",53.76463919,8.65755087,1,1,74
ETND,"Diepholz",52.57879706,8.33155545,1,1,127
ETNG,"Geilenkirchen",50.9608335,6.04175,1,1,296
ETNH,"Hohn",54.3121655,9.538168,1,1,39
ETNL,"Laage",53.91222400,12.29993600,1,2,138
ETNU,"Neubrandenburg",53.60668900,13.30014400,1,1,228
ETNW,"Wunstorf",52.4549166666667,9.42802766666667,3,1,187
ETSA,"Landsberg Lech",48.07647300,10.90274500,1,1,2044
ETSH,"Holzdorf",51.76561700,13.18029500,1,1,265
